bg,bg+1:00
3.6,8.7
8.82258064516129,8.9
8.841935483870968,9.1
8.861290322580645,9.1
8.880645161290323,9.0
8.9,9.1
9.1,8.9
9.1,9.9
9.0,11.4
9.1,11.4
8.9,11.6
9.9,11.4
11.4,9.6
11.4,8.3
11.6,8.9
11.4,10.9
9.6,12.1
8.3,11.3
8.9,10.8
10.9,10.7
12.1,10.6
11.3,10.5
10.8,11.1
10.7,11.2
10.6,10.9
10.5,10.6
11.1,10.3
11.2,10.1
10.9,9.3
10.6,8.8
10.3,9.2
10.1,9.2
9.3,8.1
8.8,6.9
9.2,6.2
9.2,6.9
8.1,10.9
6.9,12.2
6.2,13.6
6.9,14.8
10.9,14.7
12.666666666666666,14.7
14.0,15.0
14.766666666666667,14.9
14.7,13.7
14.7,12.1
15.0,11.4
14.9,11.4
13.7,10.8
12.1,9.8
11.4,8.6
11.4,7.4
10.8,5.6
9.8,4.6
8.6,4.9
7.4,4.9
5.6,4.2
4.6,3.4
4.9,3.4
4.9,4.3
4.2,4.7
3.4,4.1
3.4,3.9
4.3,4.9
4.7,5.5
4.1,5.4
3.9,4.8
4.9,4.3
5.5,5.6
5.4,8.8
4.8,11.3
4.3,11.1
5.6,8.9
8.8,6.5
11.3,4.9
11.1,4.2
8.9,4.2
6.5,4.7
4.9,4.2
4.2,3.9
4.2,5.5
4.7,7.2
4.2,7.8
4.433333333333334,8.4
6.066666666666666,8.3
7.4,7.3
7.95,6.7
8.4,5.9
8.3,4.6
7.3,5.3
6.7,7.3
5.9,8.2
4.6,8.2
5.3,8.3
7.3,8.5
8.2,8.8
8.2,9.2
8.3,10.3
8.5,11.1
8.8,11.1
9.2,10.7
10.3,10.5
11.1,10.4
11.1,10.4
10.7,10.4
10.5,10.6
10.4,10.6
10.4,10.2
10.4,9.7
10.6,9.4
10.6,8.8
10.2,8.5
9.7,8.3
9.4,7.9
8.8,8.1
8.5,8.2
8.3,7.9
7.9,7.6
8.1,6.8
8.1,5.1
7.8,5.4
7.333333333333333,6.7
6.375,6.9
5.1,6.2
5.4,6.3
6.7,8.2
6.9,11.0
6.2,13.1
6.3,13.2
8.2,11.0
11.0,8.7
13.1,7.4
13.2,6.4
11.0,4.7
8.7,4.3
7.4,6.2
6.4,9.0
4.7,9.7
4.3,9.8
6.2,9.5
9.0,9.3
9.7,9.1
9.8,9.3
9.5,10.1
9.3,10.2
9.1,10.3
9.3,10.2
10.1,10.2
10.2,9.6
10.3,8.3
10.2,7.1
10.2,6.1
9.6,5.1
7.9,4.1
6.766666666666667,3.9
5.766666666666667,6.2
4.85,10.1
4.1,11.4
3.9,10.9
6.2,11.6
10.1,11.6
11.4,10.1
10.9,8.1
11.6,6.1
11.6,4.7
10.1,4.7
8.1,5.4
6.1,6.4
4.7,7.1
4.7,6.4
5.4,4.7
6.4,4.4
7.1,5.4
6.4,6.8
4.7,7.8
4.4,8.4
5.4,8.4
6.8,8.2
7.8,8.6
8.4,9.3
8.4,9.6
8.2,9.7
8.6,10.2
9.3,10.2
9.6,10.1
9.7,10.3
10.2,10.4
10.2,10.6
10.1,11.1
10.3,11.8
10.466666666666667,12.4
10.766666666666666,12.8
11.333333333333334,13.4
11.950000000000001,14.5
12.4,15.4
12.8,15.9
13.4,16.1
14.5,16.3
15.4,16.3
15.9,16.8
16.1,17.4
16.3,17.2
16.3,16.1
16.8,14.8
17.4,13.9
17.2,13.7
16.1,13.9
14.8,13.4
13.9,12.3
13.7,11.6
13.9,11.3
13.4,11.7
12.3,11.2
11.6,7.7
11.3,5.0
11.7,5.3
11.2,5.5
7.7,4.9
5.0,4.4
5.3,3.9
5.5,3.9
4.9,5.0
4.4,6.2
3.9,6.3
3.9,5.7
5.0,5.2
6.2,4.6
6.3,4.7
5.7,5.4
5.0,7.5
4.633333333333333,7.9
4.933333333333334,6.8
5.925000000000001,6.5
7.5,6.6
7.9,7.3
6.8,8.6
6.5,10.8
6.6,12.7
7.3,13.5
8.6,14.2
10.8,14.6
12.7,14.6
13.5,14.6
14.2,14.6
14.6,14.6
14.6,14.9
14.6,13.9
14.6,11.9
14.6,10.8
14.9,10.5
13.9,10.4
11.9,11.1
10.8,11.9
10.5,12.7
10.633333333333333,13.2
11.366666666666667,13.7
12.166666666666666,14.7
12.825,15.5
13.2,15.8
13.7,16.2
14.7,16.7
15.5,17.6
15.8,19.4
16.2,21.4
16.7,24.1
19.4,24.0
21.4,19.2
24.1,15.4
24.05,14.1
24.0,14.1
19.2,13.8
15.4,13.9
14.1,14.1
14.1,12.6
13.8,10.7
13.9,8.7
14.1,8.1
12.6,7.6
10.7,6.3
8.7,5.1
7.933333333333333,4.2
7.166666666666666,4.2
5.8999999999999995,4.4
4.875,4.3
4.2,3.6
4.2,3.3
4.4,3.4
4.3,4.1
3.6,5.2
3.3,5.2
3.4,4.8
4.1,4.7
5.2,4.7
5.2,4.6
4.8,4.6
4.7,4.6
4.7,4.6
4.6,4.6
4.6,4.6
4.6,4.4
4.6,4.4
4.6,4.4
4.6,4.3
4.4,4.4
4.4,4.8
4.4,6.2
4.3,8.2
4.4,9.6
4.8,10.2
6.2,9.8
8.2,9.2
9.6,8.4
10.2,7.5
9.8,7.3
9.2,7.9
8.4,8.1
7.5,6.4
7.3,4.8
7.9,4.6
8.1,4.9
6.4,4.3
4.8,4.3
4.6,5.1
4.9,4.9
4.3,4.1
4.3,3.8
5.1,5.7
4.9,7.8
4.1,7.6
3.8,6.6
5.7,6.2
7.8,6.4
7.6,6.7
6.6,6.6
6.2,6.6
6.5,6.6
6.666666666666667,6.3
6.6,4.4
6.6,3.4
6.6,4.6
6.3,4.9
4.4,5.5
3.4,6.4
4.6,6.8
4.9,6.4
5.5,5.6
6.4,5.4
6.8,5.0
6.4,4.5
5.6,4.6
5.4,4.6
5.0,4.5
4.5,4.6
4.6,4.7
4.6,4.7
4.5,4.3
4.6,3.6
4.7,3.6
4.7,4.7
4.3,5.6
3.6,5.5
3.6,5.7
4.7,6.1
5.6,5.8
5.5,5.9
5.7,6.2
6.1,6.2
5.8,6.9
5.9,8.6
6.2,9.5
6.433333333333334,11.6
7.466666666666667,12.8
8.825,13.8
9.5,14.8
11.6,15.8
12.8,17.0
13.8,18.2
14.8,19.0
15.8,20.1
17.0,21.1
18.2,20.7
19.0,20.9
20.1,20.0
21.1,18.7
20.7,17.9
20.9,17.3
20.0,17.0
18.7,16.3
17.9,15.9
17.3,15.8
17.0,15.2
16.3,15.0
15.9,15.2
15.8,15.5
15.2,15.6
15.0,15.8
15.2,15.9
15.5,16.2
15.6,17.1
15.8,17.8
15.9,18.3
16.2,19.6
17.1,20.7
17.96666666666667,21.0
18.733333333333334,21.2
19.96666666666667,22.2
20.775,22.9
21.0,21.9
21.2,19.3
22.2,16.1
22.9,13.1
21.9,10.0
19.3,7.7
16.1,6.2
13.1,8.7
10.0,9.6
7.7,10.1
6.2,10.0
8.7,9.8
9.6,7.4
10.1,4.1
10.0,3.7
9.8,4.7
7.4,5.4
4.1,5.3
3.7,5.1
4.7,4.8
5.4,4.4
5.3,4.5
5.1,5.4
4.8,6.1
4.4,4.6
4.5,3.7
5.4,4.9
6.1,6.8
4.6,9.8
3.7,12.4
4.9,13.6
6.8,12.3
9.8,9.8
12.4,8.4
13.6,7.8
11.466666666666667,7.6
9.333333333333334,7.6
8.2,8.0
7.75,8.8
7.6,10.1
7.6,10.6
8.0,10.2
8.8,10.2
10.1,10.4
10.6,10.7
10.2,11.9
10.2,12.6
10.4,10.4
10.7,7.0
11.9,5.6
12.6,4.9
10.4,4.3
7.0,4.7
5.6,5.5
4.9,5.6
4.3,5.8
4.7,6.3
5.5,6.4
6.161538461538462,3.3
5.446153846153846,3.1
4.730769230769231,3.0
4.015384615384615,3.2
3.3,3.8
3.1,4.6
3.0,5.5
3.2,6.7
3.8,7.2
4.6,7.4
5.5,7.9
6.7,8.9
7.2,10.2
7.4,11.6
7.9,12.6
8.9,13.2
10.2,13.8
11.6,14.2
12.6,14.4
13.2,14.6
13.8,14.4
14.2,14.1
14.4,13.8
14.6,13.6
14.4,13.2
14.1,12.7
13.8,12.5
13.6,12.4
13.2,12.1
12.7,11.5
12.5,11.4
12.4,12.0
12.1,12.4
11.5,10.8
11.4,8.1
12.0,6.7
12.4,6.7
10.8,5.9
8.1,4.4
6.7,4.3
6.7,4.9
5.9,5.2
4.366666666666667,4.2
4.5,3.9
4.9,4.8
5.2,5.4
4.45,5.1
3.9,4.7
5.0,4.8
5.3,5.7
5.0,7.0
4.7,7.2
4.8,6.3
5.7,6.1
7.0,8.2
7.2,9.5
6.3,9.7
6.1,9.2
8.2,7.9
9.5,7.1
9.7,6.8
9.2,6.6
7.9,6.4
7.1,5.8
6.8,4.8
6.6,4.1
6.4,4.4
5.8,6.5
4.8,8.7
4.1,9.6
4.4,8.9
6.5,6.8
8.7,5.7
9.6,6.3
8.9,7.2
6.8,8.0
5.9,9.1
6.6,9.4
7.2,9.4
8.0,9.4
9.1,9.4
9.4,9.2
9.4,8.5
9.4,7.8
9.4,7.1
9.2,6.3
8.5,5.6
7.8,5.1
7.1,5.0
6.3,5.1
5.6,4.7
5.1,4.7
5.0,5.9
5.1,7.7
4.7,8.3
4.7,7.7
5.9,7.3
7.7,6.9
8.3,6.8
7.7,7.1
7.3,7.1
6.9,6.4
6.8,5.5
7.1,4.9
7.1,4.6
6.4,4.1
5.5,3.8
4.9,3.9
4.6,4.1
4.1,4.3
3.833333333333333,4.9
3.9666666666666663,5.3
4.166666666666666,6.1
4.45,6.9
4.9,7.6
5.3,7.8
6.1,7.6
6.9,7.2
7.6,7.0
7.8,6.8
7.6,6.7
7.2,6.6
7.0,6.4
6.8,6.4
6.7,6.7
6.6,6.9
6.4,6.7
6.4,6.4
6.7,6.1
6.9,5.7
6.7,5.4
6.4,5.3
6.1,4.9
5.7,4.6
5.4,4.4
5.3,4.1
4.9,3.8
4.6,4.6
4.4,7.2
4.1,9.8
3.8,10.4
4.6,9.2
7.2,8.4
9.8,8.1
10.4,7.1
9.2,5.9
8.4,4.8
8.1,4.2
7.1,4.1
5.9,5.4
4.8,8.0
4.2,10.3
4.1,11.9
6.266666666666667,11.1
8.766666666666667,9.4
10.833333333333334,7.1
11.7,5.6
11.1,5.0
9.4,5.2
7.1,5.2
5.6,5.1
5.0,5.5
5.2,6.1
5.2,6.8
5.1,7.7
5.5,8.2
6.1,8.3
6.8,8.3
7.7,8.7
8.2,9.4
8.3,10.4
8.3,11.7
8.7,12.1
9.4,11.1
10.4,10.3
11.7,10.1
12.1,10.1
11.1,10.2
10.3,10.3
10.1,10.2
10.1,9.9
10.2,9.9
10.3,9.8
10.2,9.3
9.9,9.9
9.866666666666667,11.2
9.8,12.1
9.3,10.7
9.75,9.1
11.2,10.4
11.633333333333333,12.6
10.166666666666666,14.5
9.425,16.4
16.03076923076923,11.6
14.923076923076922,10.3
13.815384615384614,9.6
12.707692307692307,9.3
11.6,9.2
10.3,9.1
9.6,9.1
9.3,9.3
9.2,9.9
9.1,10.6
9.1,10.7
9.3,11.1
9.9,11.4
10.6,11.2
10.7,11.4
11.1,11.3
11.4,10.7
11.2,10.4
11.4,9.9
11.3,9.7
10.7,9.7
10.4,9.4
9.9,9.1
9.7,9.0
9.7,8.9
9.4,8.8
9.1,8.7
9.0,8.6
8.9,8.8
8.8,9.2
8.7,9.3
8.6,9.3
8.8,9.6
9.2,9.0
9.3,8.2
9.3,7.6
9.6,6.2
9.0,5.1
8.2,4.9
7.6,5.3
6.2,5.8
5.1,6.3
4.9,7.1
5.3,7.5
5.8,7.9
6.3,8.1
7.1,7.8
7.5,7.8
7.9,8.4
8.1,8.8
7.8,8.9
7.8,8.5
8.4,8.7
8.8,10.3
8.9,11.2
8.5,11.7
8.7,11.4
10.3,10.9
11.2,10.5
11.7,9.8
11.4,9.4
10.9,9.1
10.5,8.9
9.8,9.0
9.3,9.7
9.033333333333333,11.1
8.933333333333334,13.1
9.175,14.2
9.7,14.1
11.1,13.2
13.1,12.3
14.2,11.6
14.1,11.1
13.2,10.7
12.3,10.9
11.6,10.4
11.1,8.6
10.7,6.6
10.9,4.9
10.4,4.6
8.6,6.2
6.6,7.3
4.9,6.4
4.6,5.6
6.2,6.4
7.3,7.2
6.4,7.2
5.6,7.2
6.4,6.7
7.2,6.2
7.2,5.1
7.2,4.5
6.7,3.9
6.2,3.4
5.1,3.2
4.3,3.9
3.7333333333333334,6.6
3.3333333333333335,9.2
3.375,9.8
3.9,8.8
6.6,8.3
9.2,8.5
9.8,8.8
8.8,9.3
8.3,10.4
8.5,11.4
8.8,11.8
9.3,12.4
10.4,12.7
11.4,12.6
11.8,12.3
12.4,12.0
12.7,12.3
12.6,12.3
12.3,11.8
12.0,10.8
12.3,10.2
12.3,9.8
11.8,9.3
10.8,8.8
10.2,8.8
9.8,8.4
9.3,8.1
8.8,8.6
8.8,9.4
8.4,9.4
8.1,7.7
8.6,6.2
9.4,5.6
9.4,5.2
7.7,5.3
6.2,5.5
5.6,5.5
5.2,5.1
5.3,5.1
5.5,5.9
5.366666666666666,8.2
5.1,10.3
5.366666666666666,11.4
6.475,11.6
8.2,11.6
10.3,11.7
11.4,11.4
11.6,11.8
11.6,12.2
11.7,11.3
11.4,9.9
11.8,8.5
12.2,7.6
11.3,6.9
9.9,6.1
8.5,5.6
7.6,4.9
6.9,4.3
6.1,5.4
5.6,8.1
4.9,10.4
4.3,11.3
5.4,11.1
8.1,10.0
10.4,8.6
11.3,7.2
11.1,6.8
10.0,7.6
8.6,8.5
7.2,9.4
6.8,10.3
7.6,10.9
8.5,10.9
9.4,10.7
10.3,10.3
10.9,9.8
9.471428571428572,9.3
9.428571428571429,11.5
9.385714285714286,13.1
9.342857142857143,13.6
9.3,15.3
11.5,15.5
13.1,13.3
13.6,13.2
15.3,15.0
15.5,14.6
13.3,14.4
13.2,15.0
14.866666666666667,18.0
14.533333333333333,21.2
14.6,21.6
15.75,19.4
18.0,17.7
21.2,16.1
21.6,13.7
19.4,10.8
17.7,9.1
16.1,8.0
13.7,9.6
10.8,11.5
9.1,10.8
8.0,9.8
9.6,9.6
11.5,8.9
10.8,7.8
9.8,7.6
9.6,8.8
8.9,8.3
7.8,7.4
7.6,7.3
8.8,7.8
8.3,7.1
7.4,5.7
7.3,4.8
7.8,5.1
7.1,5.6
5.7,4.5
4.8,4.2
5.1,4.4
5.6,5.2
4.5,5.1
4.2,4.5
4.4,4.9
5.2,5.4
5.1,6.0
4.5,7.3
5.066666666666667,9.1
5.6000000000000005,10.5
6.433333333333334,12.1
7.75,12.6
9.1,12.5
10.5,12.6
12.1,11.8
12.6,10.9
12.5,11.0
12.6,10.6
11.8,9.5
10.9,8.3
11.0,7.6
10.6,9.1
9.5,10.9
8.3,9.6
7.6,7.1
9.1,6.4
10.9,6.4
9.6,5.1
7.1,4.5
6.4,5.1
6.4,4.9
5.1,4.9
4.5,5.2
5.1,5.8
4.9,7.1
4.9,8.0
5.2,8.2
5.8,5.9
7.1,3.8
8.0,3.6
8.2,3.7
5.9,3.8
3.8,3.7
3.6,3.6
3.7,3.1
3.8,3.0
3.7,4.1
3.6,5.5
3.1,8.0
3.0,10.2
4.1,11.6
6.333333333333333,11.5
8.733333333333333,10.7
10.666666666666666,9.2
11.575,7.4
11.5,5.6
10.7,4.2
9.2,3.6
7.4,3.3
5.6,3.3
4.2,3.2
3.6,3.3
3.3,3.6
3.3,3.9
3.2,4.8
3.3,6.4
3.6,6.3
3.9,5.2
4.8,7.0
6.4,10.3
6.3,12.7
5.2,13.7
7.0,13.3
10.3,12.9
12.7,11.2
13.7,9.1
13.3,10.1
12.9,12.2
11.2,12.2
9.1,12.4
10.1,12.1
12.2,11.2
12.2,11.7
12.4,12.3
11.799999999999999,13.4
11.366666666666665,13.2
11.9,10.8
12.575000000000001,8.6
13.4,8.8
13.2,8.9
10.8,8.4
8.6,8.4
8.8,8.4
8.9,7.7
8.4,6.4
8.4,6.3
8.4,8.0
7.7,9.9
6.4,11.1
6.3,12.4
8.0,13.9
9.9,15.6
11.1,15.8
12.4,15.6
13.9,15.7
15.6,14.9
15.8,13.7
15.6,13.0
15.7,12.1
14.9,11.3
13.7,10.9
13.0,10.3
12.1,9.7
11.3,8.2
10.9,6.5
10.3,4.2
9.7,3.3
8.2,3.4
6.5,5.9
4.2,6.8
3.3,4.8
3.4,4.1
5.9,4.3
6.133333333333333,5.4
4.566666666666666,7.1
4.166666666666666,7.4
4.575,7.3
5.4,9.1
7.1,12.2
7.4,13.8
7.3,12.0
9.1,8.7
12.2,6.4
13.8,4.5
12.0,3.2
8.7,3.1
6.4,3.3
4.5,3.8
3.2,5.2
3.1,5.8
3.3,6.3
3.8,3.9
5.2,4.6
5.8,6.1
6.3,6.6
3.9,6.9
4.6,6.7
6.1,6.6
6.6,6.2
6.9,5.9
6.7,6.6
6.6,7.1
6.2,6.3
5.9,5.3
6.6,4.7
7.1,4.1
6.3,3.6
5.3,3.2
4.5,3.4
3.933333333333333,4.2
3.466666666666667,3.9
3.25,3.5
3.4,3.7
4.2,4.4
3.9,5.3
3.5,6.7
3.7,7.9
4.4,8.1
5.3,7.7
6.7,7.6
7.9,7.8
8.1,7.6
7.7,7.2
7.6,6.9
7.8,6.6
7.6,6.4
7.2,6.7
6.9,6.7
6.6,6.3
6.4,5.8
6.7,6.6
6.7,7.6
6.3,7.7
5.8,7.6
6.6,7.6
7.6,8.3
7.7,8.2
7.6,6.4
7.6,4.4
8.3,3.9
8.2,4.1
6.4,3.7
4.4,3.3
3.9,3.2
3.9666666666666663,3.1
3.566666666666667,3.8
3.2666666666666666,5.4
3.1750000000000003,6.3
3.125,6.3
3.8,6.2
5.4,6.2
6.3,6.9
6.275,7.4
6.2,7.3
6.2,7.8
6.9,8.6
7.4,9.3
7.3,10.0
7.8,10.4
8.6,10.8
9.3,11.3
10.0,11.6
10.4,12.6
10.8,14.2
11.3,15.1
11.6,14.9
12.6,13.6
14.2,12.9
15.1,11.8
14.9,10.9
13.6,10.4
12.9,9.0
11.8,8.2
10.9,9.7
10.4,10.4
9.0,10.6
8.2,10.4
9.7,9.2
10.4,7.9
10.6,7.4
10.4,6.9
9.2,6.1
7.9,5.3
7.4,4.7
6.633333333333334,4.3
5.833333333333333,4.7
5.1,6.4
4.6,7.4
4.3,6.9
4.7,6.7
6.4,6.5
7.4,6.4
6.9,6.7
6.7,7.2
6.5,7.7
6.4,8.1
6.7,8.2
7.2,8.6
7.7,9.3
8.1,9.9
8.2,10.9
8.6,12.0
9.3,13.1
9.9,14.8
10.9,15.7
12.0,15.4
13.1,16.3
14.8,17.8
15.7,18.5
15.700000000000001,19.0
16.8,18.9
18.033333333333335,18.6
18.625,18.1
19.0,17.2
18.9,15.3
18.6,13.4
18.1,11.8
17.2,10.6
15.3,9.8
13.4,9.3
11.8,9.2
10.6,9.3
9.8,9.2
9.3,8.3
9.2,7.4
9.3,7.0
9.2,6.4
8.3,6.1
7.4,5.4
7.0,5.1
6.4,5.6
6.1,5.1
5.4,3.8
5.1,3.1
5.6,3.8
5.1,4.7
3.8,3.7
3.1,4.9
3.8,7.2
4.7,6.6
3.7,3.7
4.9,5.6
7.2,8.0
6.6,8.7
3.7,9.4
5.6,10.3
8.0,11.3
8.7,12.2
9.4,12.4
10.3,12.9
11.3,12.1
12.2,10.3
12.4,7.8
12.9,5.8
12.1,4.6
10.3,5.0
7.8,8.9
5.8,11.0
4.6,11.2
6.3,11.7
9.6,12.9
11.066666666666666,14.3
11.325,13.8
11.7,12.9
12.9,13.1
14.3,13.3
13.8,14.5
12.9,15.5
13.1,13.6
13.3,9.5
14.5,6.6
15.5,6.4
13.6,6.6
9.5,6.4
6.6,6.3
6.4,6.9
6.6,8.0
6.4,8.8
6.3,10.2
6.9,11.2
8.0,10.6
8.8,8.5
10.2,6.8
11.2,9.1
10.6,10.8
8.5,13.0
6.8,14.6
9.1,14.7
11.533333333333333,12.3
13.533333333333333,11.6
14.633333333333333,11.6
14.1,11.3
12.3,10.8
11.6,10.7
11.6,10.7
11.3,10.3
10.8,10.1
10.7,10.3
10.7,10.7
10.3,10.5
10.1,10.2
10.3,11.2
10.7,12.7
10.5,13.6
10.2,13.8
11.2,13.2
12.7,12.3
13.6,11.7
13.8,10.8
13.2,9.9
12.3,8.9
11.7,7.9
10.8,7.6
9.9,7.4
8.9,7.1
7.9,7.4
7.6,7.1
7.4,6.7
7.1,6.8
7.4,6.7
7.1,6.4
6.7,6.5
6.8,6.5
6.7,6.6
6.4,6.3
6.5,6.2
6.5,6.1
6.6,5.2
6.3,4.2
6.2,3.8
6.1,3.8
5.2,4.2
4.2,5.2
3.8,6.5
3.933333333333333,8.7
4.533333333333333,9.6
5.633333333333334,8.3
7.05,6.6
8.7,5.7
9.6,5.5
8.3,4.4
6.6,4.4
5.7,6.9
5.5,9.8
4.4,11.9
4.4,12.3
6.9,10.3
9.8,7.1
11.9,6.3
12.3,7.0
10.3,7.7
7.1,8.1
6.3,8.4
7.0,8.9
7.7,9.8
8.1,9.4
8.4,8.8
8.9,8.8
9.8,9.6
9.4,10.3
8.8,10.2
8.8,9.8
9.6,9.8
10.3,10.6
10.2,11.3
9.8,11.9
9.8,13.2
10.6,13.4
11.3,12.0
11.9,10.8
13.2,10.8
13.4,11.1
12.0,11.8
10.8,13.1
10.8,13.9
11.333333333333334,14.9
12.233333333333334,15.8
13.366666666666667,17.8
14.15,18.5
14.9,15.6
15.8,12.1
17.8,9.8
18.5,8.6
15.6,6.4
12.1,5.4
9.8,5.3
8.6,4.2
6.4,3.1
5.4,4.0
5.3,5.8
4.2,6.4
3.1,7.6
4.6,7.7
6.0,8.0
6.8,8.5
7.625,8.2
7.7,7.7
8.0,8.2
8.5,8.8
8.2,9.2
7.7,9.6
8.2,10.5
8.8,11.8
9.2,11.5
9.6,11.1
10.5,11.8
11.8,11.7
11.5,10.2
11.1,9.0
11.8,9.2
11.7,10.4
10.2,9.9
9.0,8.8
9.2,9.2
10.4,9.3
9.9,8.9
8.8,8.3
9.2,9.1
9.3,9.6
8.9,9.1
8.3,9.9
9.1,9.3
9.6,6.6
9.1,5.0
9.9,5.9
9.3,6.8
6.6,5.9
5.0,5.2
5.9,4.9
6.8,3.7
5.9,3.9
5.2,4.1
4.9,2.9
3.7,2.9
3.9,4.7
4.1,6.1
2.9,5.2
2.9,4.3
4.7,5.2
6.1,7.4
5.2,7.5
4.3,5.4
5.2,4.5
7.4,5.6
7.5,8.0
5.4,10.4
4.5,12.1
5.6,12.6
8.0,13.0
10.4,12.9
12.266666666666666,9.7
12.733333333333333,7.5
12.966666666666667,8.2
12.1,9.1
9.7,8.2
7.5,7.6
8.2,8.3
9.1,9.9
8.2,11.7
7.6,13.0
8.3,13.4
9.9,12.7
11.7,10.7
13.0,8.1
13.4,5.9
12.7,4.1
10.7,2.7
8.1,2.2
5.9,2.9
4.1,4.1
2.7,5.6
2.2,6.7
2.9,6.1
4.1,4.6
5.6,3.3
6.7,2.9
6.1,3.3
4.6,2.4
3.1666666666666665,3.1
3.033333333333333,4.9
3.0,5.9
2.575,6.3
3.1,7.3
4.9,8.0
5.9,8.2
6.3,7.3
7.3,6.1
8.0,5.3
8.2,5.6
7.3,7.1
6.1,8.6
5.3,9.6
5.6,10.4
7.1,11.3
8.6,12.5
9.6,14.6
10.4,16.1
11.3,15.9
12.5,14.4
14.6,14.6
16.1,15.5
15.9,16.0
14.4,15.1
14.6,12.8
15.5,12.3
16.0,15.4
15.1,13.9
12.8,12.6
12.3,12.0
15.4,12.4
13.9,12.1
12.6,11.5
10.675,10.4
10.606250000000001,12.1
10.4,10.7
11.944444444444445,6.3
11.477777777777778,4.5
